station_name,latitude,longitude,annual_entries
Sunbury,-37.57909097,144.7273188,691050
Diggers Rest,-37.62701651,144.7199224,165600
Stony Point,-38.37423454,145.2218375,6950
Crib Point,-38.36612338,145.2040433,7900
Morradoo,-38.35403334,145.1896025,3400
Bittern,-38.33739032,145.1780265,8800
Hastings,-38.30565853,145.1859799,10850
Tyabb,-38.259815,145.1864007,4050
Somerville,-38.22534196,145.1762449,8050
Baxter,-38.19404306,145.1605261,2500
Glen Iris,-37.85930842,145.0582249,261300
Leawarra,-38.152034,145.139534,5500
Darling,-37.86895684,145.0629508,262650
East Malvern,-37.87693002,145.069393,333800
Holmesglen,-37.87440222,145.090662,383100
Jordanville,-37.87360339,145.1120902,388950
Flagstaff,-37.81198131,144.9556538,3445200
Melbourne Central,-37.80993877,144.9625935,11876900
Parliament,-37.81105406,144.9729109,6344650
Belgrave,-37.9091021,145.3552913,283100
Tecoma,-37.90811849,145.3429946,47250
Upwey,-37.90369097,145.3313334,97850
Alamein,-37.86832039,145.0796557,96200
Ashburton,-37.86196753,145.0813438,201950
Burwood,-37.85156328,145.0805111,221250
Hartwell,-37.84398457,145.0755596,138050
Willison,-37.83571565,145.0702976,73100
Riversdale,-37.83150543,145.069646,144000
Camberwell,-37.82656714,145.0586972,1260400
Flinders Street,-37.81830513,144.9669643,19633300
Frankston,-38.14299007,145.1261623,1035450
Kananook,-38.12174203,145.1352953,173050
Seaford,-38.10402104,145.1282304,320500
Carrum,-38.07489292,145.1224183,343700
Bonbeach,-38.06294478,145.1196804,141600
Chelsea,-38.05195538,145.1160413,352250
Edithvale,-38.03805602,145.1085355,201450
Aspendale,-38.02722019,145.1021496,169500
Mordialloc,-38.00658295,145.0876594,529850
Parkdale,-37.99307882,145.0763268,268050
Mentone,-37.9818654,145.0651659,583650
Cheltenham,-37.96664989,145.0545579,717500
Upper Ferntree Gully,-37.8926717,145.3075302,180450
Ferntree Gully,-37.88169799,145.2952513,337700
Boronia,-37.8604518,145.2843851,462850
Bayswater,-37.84173004,145.2681364,446150
Heathmont,-37.82832227,145.2445554,199600
Highett,-37.948425,145.0418718,410950
Glen Waverley,-37.87950407,145.1620575,1209700
Syndal,-37.87622963,145.1497805,698100
Mount Waverley,-37.87525526,145.1280557,658250
Lilydale,-37.75551777,145.3477102,512300
Mooroolbark,-37.78474883,145.3124024,569250
Croydon,-37.79543697,145.2805978,447350
Ringwood East,-37.81196804,145.2501909,268800
Pakenham,-38.08061397,145.4863791,495750
Officer,-38.06614572,145.4109872,208600
Beaconsfield,-38.05083135,145.3660737,199950
Berwick,-38.04040829,145.3457261,1008200
Narre Warren,-38.02780932,145.3039694,522200
Hallam,-38.01774038,145.2697768,521500
Cranbourne,-38.09953731,145.280599,1054250
Merinda Park,-38.07900048,145.2635114,577750
Dandenong,-37.98996792,145.2097254,1970750
Yarraman,-37.97825454,145.1916003,272450
Noble Park,-37.96723193,145.1769357,993800
Sandown Park,-37.95650457,145.1628259,458700
East Camberwell,-37.82589419,145.0681902,185950
Canterbury,-37.82448518,145.0812242,268450
Chatham,-37.82429952,145.0886479,183300
Laburnum,-37.82078023,145.1407027,316900
Blackburn,-37.82007075,145.1500135,1206950
Nunawading,-37.82060317,145.1748917,758050
Mitcham,-37.81800987,145.1919735,925550
Heatherdale,-37.81889537,145.2127872,448700
Ringwood,-37.81588648,145.2289685,1514250
Auburn,-37.82239831,145.0458437,650000
Glenferrie,-37.82146682,145.0364388,1978650
Hawthorn,-37.82182601,145.0228987,531400
Burnley,-37.82756022,145.0075551,881250
East Richmond,-37.82639995,144.9970657,575900
Richmond,-37.82407446,144.9901643,3712750
Heyington,-37.83467244,145.0226353,189500
Kooyong,-37.83992894,145.0335516,233000
Tooronga,-37.84936553,145.0417337,453150
Gardiner,-37.85327908,145.0516547,399400
Springvale,-37.94950878,145.1534518,1429400
